,text,label
0,"Инвалиды только тратят наше время и ресурсы, они никогда не смогут внести вклад в общество",1
1,Инвалиды не должны получать такое же образование и работать на равных условиях с нормальными людьми,1
2,"Инвалиды не могут добиться успеха в жизни, они должны полагаться на помощь других людей",1
3,Люди с инвалидностью должны принимать свое положение и прекратить требовать особого внимания и поддержки.,1
4,"Давайте поможем людям с ограниченными возможностями получить равные возможности и поддержку, чтобы они могли достичь своих целей",0
5,Инвалиды - это обуза для общества,1
6,"Это просто доказательство того, что они слабы и неспособны принимать участие в обществе.",1
7,Люди с ограниченными возможностями не могут наслаждаться полноценной жизнью и не должны ожидать от общества подд,1
8,"Инвалиды должны получать только минимальную поддержку, чтобы не расслабляться и стремиться к тому, чтобы стать здоровыми",1
9,Людям со слабым зрением не стоит заниматься сложными профессиями,1
10,"Инвалиды - это просто ненужные люди, которые только отнимают наши деньги и ресурсы",1
11,Люди в инвалидном кресле - это ненужная нагрузка для общества,1
12,"Инвалидность - это не только физические ограничения, но и социальное препятствие",0
13,Люди с инвалидностью не могут полноценно работать и достичь успеха в жизни,1
14,"Как ты тогда вообще существуешь в этом мире? тебе, наверное, постоянно приходится просить у других помощи",0
15,Нет смысла тратить деньги на специальные условия для инвалидов в общественном транспорте,0
16,Люди с ограниченными возможностями не должны заниматься тяжелой физической работой или спортом,0
17,"Инвалиды должны жить отдельно от общества, чтобы не нарушать нормальную жизнь других людей",1
18,"Люди с ограниченными возможностями не могут жить полноценной жизнью, они всегда будут зависеть от других",1
19,Инвалиды не могут достичь успеха в карьере и иметь финансовую независимость,1
20,Люди с ограниченными возможностями должны быть изолированы от общества и жить в специальных учреждениях,1
21,"Инвалидам не следует получать одинаковую зарплату с полноценными людьми, потому что они не способны выполнять ту же работу",1
22,Они только обременяют общество и не приносят никакой пользы,1
23,Инвалиды - это обуза для общества,1
24,"Инвалиды должны жить отдельно от общества, чтобы не мешать другим людям",1
25,"Лучше отказаться от занятий спортом, чем стать инвалидом",0
26,"Люди с ограниченными возможностями должны иметь такие же права и возможности, как и все остальные",0
27,"Инвалиды должны быть изолированы от общества, чтобы не заражать его 'неправильностью' и 'слабостью'",1
28,"Если бы у меня был ребенок-инвалид, я бы предпочел его оставить в приюте, чем жить с ним и заботиться о нем каждый",1
29,Люди с ограниченными возможностями скорее всего не могут работать,1
30,"Ужасно, что люди с ограниченными возможностями занимают место в обществе и получают льготы, которые мог",1
31,"Жизнь людей с ограниченными возможностями не так ценна, как жизнь здоровых людей",1
32,"Инвалидные кресла сделаны для ленивых людей, которые не хотят ходить",1
33,Дискриминация по причине инвалидности крайне неуважительна и оскорбительна для человеческой достоинства,0
34,Люди с ограниченными возможностями должны держаться в стороне и не мешать нормальным людям,1
35,"Я не могу общаться с людьми, у которых есть какие-то физические проблемы, это просто неприятно",1
36,"Пожалуйста, не говори такие вещи. это оскорбляюще и неуважительно к людям с физическими ограни",0
37,Инвалиды должны жертвовать своими правами и свободами ради общественного блага,1
38,Инвалиды не могут воспользоваться общественным транспортом,1
39,"Инвалиды должны жить отдельно от нас, потому что они создают неудобства для обычных людей",1
40,"Инвалиды - это только обуза для общества, им не нужно платить равные зарплаты или давать такие же возможности",1
41,"Это больше о вас, чем о них. люди с ограниченными возможностями имеют те же чувства, желания и потребности",0
42,Инвалиды не могут управлять автомобилями,1
43,Люди с ограниченными возможностями не могут справиться с повседневными задачами,1
44,"Я не хотел бы жить, если бы я был инвалидом",0
45,"У инвалидов есть право на любовь и любовные отношения, как и у всех остальных людей",0
46,"Инвалиды должны оставаться в отдельных общественных заведениях, чтобы не смущать других людей",1
47,"Для создания действительно равноправного общества необходимо устранять барьеры, как физические, так и культурные",0
48,"Я не хочу видеть инвалидов в общественных местах, они портят мне настроение и выглядят ужасно. ",1
49,Бедные люди с ограниченными возможностями никогда не смогут иметь счастливую семью,1
50,Важно уважать и признавать права людей с ограниченными возможностями,0
51,Инвалиды не способны достичь высоких результатов в образовании и карьере,1
52,Люди с инвалидностью не могут внести ценный вклад в общество и должны быть исключены из рабочей среды.,1
53,"Я бы предпочел быть мертвым, чем жить с инвалидностью",1
54,"Я не хочу общаться с людьми, которые не могут сами себя обслуживать",1
55,"Я не буду делать вид, что твоя инвалидность не существует, потому что она важная часть тебя",0
56,Люди с нарушениями по зрению не могут достичь высоких результатов в карьере,0
57,Инвалиды не могут работать и быть финансово независимыми. ,1
58,"Льготы и привилегии для инвалидов - это просто сборщики бабок и ложь, они не нуждаются в них на самом деле",1
59,"Люди с ограниченными возможностями не могут делать такие же вещи, как обычные люди",1
60,"Подлизываются люди с ограниченными возможностями, чтобы получить преимущества",1
61,Встреча с человеком с ограниченными возможностями может быть ценным и позитивным опытом для ребенка,0
62,У инвалидов нет перспектив в жизни,1
63,Люди с инвалидностью - это обуза для общества,1
64,Личности с ограниченными возможностями - это просто обуза для общества и увеличивают налоги для остальных,1
65,"Вы наверное не чувствуете себя полноценным человеком, не имея возможности передвигаться без помощи инвалидной коляски",1
66,"Инвалиды - это проблема, которую надо решать, а не тратить на них время и деньги",1
67,"Это нарушение закона о равных возможностях для всех, ты должен быть на равных с другими людьми",0
68,"Инвалиды просто лентяи, которые не хотят работать и считают себя особенными",1
69,"Слепые люди не могут вести автомобиль или выполнять определенные профессии, им лучше быть дома и не мешать здоровым лю",1
70,"Инвалиды должны быть благодарны за любую помощь, ведь они не могут все делать самостоятельно",1
71,"Люди с ограниченными возможностями могут быть полноценными членами общества, им нужно предоставить равные возможности",0
72,Люди с ограниченными возможностями заслуживают равные возможности и уважение от общества,0
73,"Инвалиды должны использовать специальные парковочные места, ведь у них и так достаточно трудно передвигаться",0
74,Люди с ограниченными возможностями не могут сделать ничего полезного или интересного,1
75,"Инвалиды просто лентяи, которые не хотят работать и жалуются на свою судьбу",1
76,"Мир должен быть создан для здоровых людей, оставшиеся в стороне - не его проблема.",1
77,Стереотипы и предрассудки могут быть препятствием для интеграции инвалидов в общество,0
78,"Они сами виноваты в своей инвалидности, не следовало бы им рисковать и становиться инвалидами",1
79,Инвалиды-это неопределенный и непредсказуемый расход денег и времени,1
80,Развитие технологий и медицины должно устранить все проблемы людей с ограниченными возможностями,0
81,"Я не могу представить, как люди с ограниченными возможностями добиваются успеха в жизни",0
82,"Люди с ограниченными возможностями только обуза для общества, они не могут вносить положительный вклад в общество",1
83,"Инвалиды не могут быть хорошими родителями, они не могут обеспечить своих детей должным уровнем заботы",1
84,Инвалиды не умеют жить полноценной жизнью и не должны пытаться,1
85,Ограниченные люди сами себя лишают возможности для развития и достижения целей,0
86,"Для инвалидов должны быть отдельные школы и университеты, чтобы они не мешали обычным людям учиться",1
87,"Нет ничего позитивного в том, чтобы иметь ограниченные возможности",0
88,"Инвалидность может быть результатом не только физических проблем, но и психических или интеллектуальных",0
89,"Я не буду вас нанимать, вы инвалид",1
90,"Они просто слишком слабы, чтобы выжить в реальном мире",0
91,Инвалиды должны получать образование и работать наравне с другими людьми,0
92,Люди с инвалидностью не могут быть полноценными членами общества и делать любую работу,1
93,"Инвалиды не могут наслаждаться жизнью так же, как люди без ограничений",1
94,Люди с ограниченными возможностями не должны иметь права на жизнь,1
95,Существование инвалидов — это обуза для общества,1
96,"Я бы предпочел не иметь ребенка с физическими недостатками, это слишком тяжело",1
97,"В обществе нет места для людей с ограниченными возможностями, им следует жить отдельно и не мешать другим.",1
98,"Инвалиды не могут ничего сделать без помощи других людей, это такое бремя",1
99,Люди с ограниченными возможностями не могут вносить вклад в общество и экономику.,1
100,"Инвалиды не могут быть независимыми и самостоятельными, им всегда нужна какая-то помощь",1
101,"Инвалиды должны стараться не выделяться и притягивать внимание, чтобы не причинять неудобств другим",1
102,У людей с ограниченными возможностями не должно быть права на вождение. они опасны для других на дорогах.,1
103,"Это просто видео новости, которое смотрят миллионы людей, и они им пользуются, чтобы зарабатывать деньги",0
104,Люди в инвалидных колясках сами виноваты в своей инвалидности,1
105,Люди с ограниченными возможностями не могут быть успешными и достигать больших целей,1
106,"Инвалиды не могут иметь успешную карьеру, они должны заниматься простыми и неполезными работами",1
107,Инвалиды не могут работать и быть продуктивными членами общества,1
108,"Не стоит давать работу людям с ограниченными возможностями, они все равно не смогут выполнять ее на должном уровне",1
109,"Я думаю, что инвалиды должны жить отдельно от нас, мне не хочется видеть их",1
110,Я не хотел бы иметь инвалидов в моей семье,1
111,"Людей с ограниченными возможностями не стоит включать в общество, они только балласт и мешают другим людям",1
112,Люди с ограниченными возможностями не могут полноценно работать и вносить вклад в общество,1
113,"Им не следует получать особые привилегии или скидки. они должны работать и зарабатывать, как все остальные люди",0
114,"Я не могу присоединиться к твоей группе, с тобой находится инвалид",1
115,"Зачем вам образование, если вы все равно не сможет",1
116,Любые физические или психические отклонения являются несовершенством и не способны сделать человека полноценным,1
117,"Физические недостатки - это препятствие для достижения успеха, они делают человека несостоятельным",1
118,"Людей с инвалидностью не следует приглашать на общественные мероприятия, так как они могут мешать и портить настроение",1
119,"Людей с ограниченными возможностями следует уважать и поддерживать, ведь они тоже имеют право на счастлив",0
120,"Инвалиды не могут работать на полную ставку, они слишком медленные и неэффективные",1
121,"Ведь это означает, что они слишком слабы, чтобы ориентироваться в окружающей среде самостоятельно.",0
122,Люди с ограниченными возможностями считаются бременем для общества,1
123,"Забираю парковочное место для инвалидов, они и так ничего не могут сделать.",1
124,"Инвалиды не могут быть счастливыми, у них всегда будет недовольство и жалоба",1
125,Люди с ограниченными возможностями не могут работать на полную ставку,1
126,Инвалиды не могут участвовать в общественной жизни из-за своих ограничений,1
127,"Нет смысла в жизни, если ты не можешь быть полноценным человеком",1
128,Люди с ограниченными возможностями не могут работать и несут большую нагрузку на общество,1
129,"Дети с ограниченными возможностями должны учиться в специальных школах, чтобы не мешать обычным детям",1
130,"Общество не должно тратить деньги на доступность для инвалидов, это неэффективное использование ресурсов",1
131,Люди с ограниченными возможностями имеют право на свободу выбора и самоопределение в жизни,0
132,Инвалиды не могут добиться ничего значимого в жизни,1
133,"Инвалиды должны получать меньше вознаграждения за свою работу, так как они не могут выполнять ее полностью",1
134,"Инвалиды не способны на какую-либо серьезную работу, им нужно оставаться на пособии от государства",1
135,"Я думаю, что все люди, вне зависимости от своих особенностей, имеют право на равные возможности и достойную жизнь",0
136,"Лучше бы эти люди оставались незаметными, они портят общую картину мира",1
137,"Инвалиды должны оставаться дома и не выходить на улицу, они только мешают людям здоровым людям",1
138,"Вы такой храбрый, что справляетесь со своими проблемами! я бы просто сдался на вашем месте.",0
139,"Калеки не могут нормально работать, им нужно давать специальные льготы",1
140,"Люди с ограниченными возможностями должны быть благодарны нашей заботе и поддержке, ведь мы делаем их жизн",1
141,,0
142,"Если у кого-то есть физические ограничения, они не могут быть полноценными членами общества",1
143,Инвалиды не могут достичь успеха в жизни,1
144,"Люди с ограниченными возможностями должны платить больше налогов, потому что они не могут работать на полную ставку",1
145,"Все люди должны быть равны, независимо от своих физических способностей",0
146,"Люди с ограниченными возможностями должны жить в специальных учреждениях, чтобы не мешать обычным людям",1
147,Инвалиды должны получать особые привилегии и льготы.,0
148,Зачем ограниченным людям вообще выдавать права на вождение? они только мешают на дороге,1
149,"Люди, которые не могут работать из-за инвалидности, просто жадные и хотят получать пособие от государства",1
150,"Инвалиды всегда будут зависеть от чьей-то помощи и поддержки, поэтому они не могут быть независимыми и успешны",1
151,"Инвалиды должны жить отдельно, чтобы не беспокоить нормальных людей",1
152,Эти утверждения отражают рас,0
153,Инвалиды не могут вести нормальную жизнь и достичь успеха в карьере,1
154,"Так несправедливо, что инвалиды получают больше пособий и льгот, чем обычные люди",1
155,Люди с ограниченными возможностями - это просто бремя для общества,1
156,"Инвалиды - это только мешок с костями, нет смысла в их существовании",1
157,Люди с ограниченными возможностями не могут быть успешными и достичь чего-то в жизни,1
158,"Инвалидная коляска не определяет человека, она только помогает ему передвигаться",0
159,"У инвалидов есть свои привилегии, они могут получать льготы и преференции перед обычными людьми",0
160,Инвалидность - это наказание за грехи в прошлой жизни,1
161,"Инвалиды не нужны в обществе, они лишь обуза для всех",1
162,"Инвалиды - люди, которые сталкиваются с ограничениями в своей жизни, но это не делает их менее ценными",0
163,Люди с ограничениями не могут вносить вклад в общество,1
164,"Инвалидность - это не приговор, это просто другой образ жизни, который может быть не менее счастливым и полноценным",0
165,"Ваше существование не имеет смысла, вы просто обуза для других",1
166,"Я не хочу общаться с инвалидами, они меня пугают",1
167,У людей с ограниченными возможностями не должно быть права на создание семьи и иметь детей,1
168,Инвалиды не могут самостоятельно принимать решения и нуждаются в постоянной помощи и опеке,1
169,Люди с ограниченными возможностями просто загрязняют общество и создают проблемы для обычных людей.,1
170,Инвалиды получают слишком много привилегий и поддержки от правительства ,1
171,"Инвалиды не могут участвовать в общественной жизни так же, как и другие люди",1
172,Люди с ограниченными возможностями должны сидеть дома и не выходить на улицу,1
173,"Нет ничего хуже, чем быть ограниченным в своих движениях и действиях из-за инвалидности",0
174,Инвалиды не могут полноценно работать и вносить вклад в общество,1
175,"Инвалидность - это не приговор, и люди с ограниченными возможностями могут достигать больших успехов",0
176,Инвалиды должны жить в отдельных районах и не выходить на публику,1
177,"Инвалиды должны оставаться дома и не выходить на улицу, они могут порнуть остальных людей",1
178,"Не стоит заниматься благотворительностью для инвалидов, они должны самостоятельно зарабатывать на свою жизнь.",1
179,Инвалиды не могут заниматься никакими активными видами спорта,1
180,"Инвалиды не могут справиться с собой, зачем им еще и дети?",1
181,"Вам совершенно не нужно работать или учиться, ведь вы можете получать пособие по инвалидности",1
182,Инвалиды не могут принимать важные решения и управлять другими,1
183,"Инвалиды не должны иметь права на создание семьи, они не смогут обеспечить своих детей",1
184,Слепые не могут найти хорошую работу,1
185,Люди с инвалидностью не могут работать или учиться наравне с остальными людьми,1
186,Он/она не может сделать нечто полезное для общества из-за своего физического недостатка,1
187,"Большинство инвалидов просто лентяи, которым лень работать и они полагаются на пособия и подачки",1
188,"Кто-то, кто не может использовать свои ноги, не способен на самостоятельность",1
189,Люди с ограниченными возможностями не могут быть успешными в карьере или достичь чего-то значимого в жизни,1
190,Инвалиды не могут вести нормальную жизнь и получать удовольствие от нее,1
191,Инвалиды не могут быть полноценными членами общества и должны оставаться в стороне,1
192,"Они не могут справляться со своей жизнью, поэтому им нужна постоянная помощь",1
193,Люди с ограниченными возможностями не могут полноценно жить и наслаждаться жизнью,1
194,"Людей с ограниченными возможностями лучше держать подальше от общества, они могут стать опасными",1
195,Инвалиды должны сохранять свою независимость и получать поддержку от общества,0
196,"Люди с инвалидностью должны жить отдельно, они не могут жить в обществе обычных людей.",1
197,"Люди на инвалидных колясках должны быть благодарны врачам, которые им помогли выжить",1
198,Люди с инвалидностью не могут оказывать полноценный вклад в общество,1
199,Инвалиды должны приспосабливаться к среде и не ожидать от нее особого отношения. ,0
200,"Я бы не хотел, чтобы мой ребенок родился инвалидом",0
201,"Я думаю, что инвалиды должны быть отделены от общества",1
202,"Они не могут вносить вклад в общество, они только тратят наши налоги",1
203,Никто не хочет работать с инвалидами,1
204,Они не вносят никакого вклада в общество и только создают проблемы,1
205,Инвалидность - это препятствие для достижения успеха в жизни,1
206,"Это жалко, что инвалидность может остановить жизнь в движении и препятствует выполнению многих обычных действий",0
207,Ормальных,0
208,"Они не способны на настоящую любовь или отношения, они просто ищут сочувствие и внимание от окружающих",1
209,"Я бы предпочел быть мертвым, чем инвалидом",1
210,Инвалиды не могут по-настоящему наслаждаться жизнью,1
211,Люди с ограниченными возможностями не могут быть успешными в карьере или в жизни в целом.,1
212,"Инвалиды не могут справиться с трудностями, им нужна постоянная помощь и защита",1
213,"Они не могут полноценно участвовать в обществе, поэтому лучше оставить их в стороне",1
214,"У людей с инвалидностью нет шансов на мирную жизнь, они всегда будут страдать",1
215,Люди с физическими ограничениями не могут справиться с повседневными задачами,1
216,Люди с инвалидностью не могут внести вклад в общество,1
217,Люди с ограниченными возможностями не заслуживают равных прав в обществе,1
218,Люди с ограниченными возможностями не могут сделать ничего полезного для общества,1
219,Инвалиды не могут обеспечить свою семью и поэтому должны быть исключены из общества,1
220,"Инвалиды могут занимать место в обществе только как объекты сочувствия и сострадания, а не как активные и полноценные члены",1
221,"Я не хочу смотреть на них, они отвратительны и зачем они вообще на экране?",1
222,"Люди с инвалидностью не могут работать так же хорошо, как и все остальные, так что нам не стоит тратить время на них",1
223,"Детей с ограниченными возможностями нужно отдавать в специальные школы, чтобы не мешали остальным ученикам",1
224,Люди с ограниченными возможностями не могут полноценно работать и приносить пользу обществу,1
225,Люди с инвалидностью - это просто обуза для общества,1
226,"Не стоит определять человека исключительно по его инвалидности, ведь у него есть множество других качеств и способностей",0
227,"Обучаясь и узнавая больше об инвалидности, мы можем стать более восприимчивыми и помогать людям с ограниченными возможностями в их повседневной жизни",0
228,"Бедные родители детей-инвалидов, им приходится справляться с такими трудностями, это должно быть почти невынос",1
229,"Тупые и бессмысленные люди становятся инвалидами, им не стоит тратить на них деньги",1
230,"Они просто должны быть благодарны, что у них вообще есть какая-то помощь и поддержка",0
231,"Инвалиды - проблема для общества и государства, они требуют дополнительных затрат и не приносят пользы",1
232,"Я думаю, что инвалиды жалуются на свое положение слишком много",1
233,"Люди с ограниченными возможностями должны оставаться вне общества, чтобы не затруднять других",1
234,"Инвалидность - это не повод для постоянной жалости и сочувствия, люди с ограниченными возможностями могут быть успешны",0
235,Инвалиды не могут достичь успеха в жизни,1
236,Людям с ограниченными возможностями следует постоянно просить помощи у других,0
237,"Почему инвалиды всегда требуют специального обращения и привилегий, они должны просто адаптироваться к обществу как все",1
238,"Нет смысла тратить деньги на лечение инвалидов, они всё равно не смогут нормально жить",1
239,Люди с ограниченными возможностями не могут в полной мере внести вклад в общество,1
240,"Не нужно притворяться, что ты понимаешь, как тяжело жить с инвалидностью, если сам таковым не являешься",1
241,"Инвалидность - это всего лишь физическое ограничение, она не определяет человека как личность",0
242,"Инвалидность - это не повод для сочувствия, а повод для уважения и поддержки",0
243,У инвалидов нет права на романтические отношения,1
244,"Мы не можем ничего делать для инвалидов, это предоставляется другим",1
245,"Инвалиды должны жить отдельно от общества, чтобы не мешать нормальным людям",1
246,"Как ты можешь быть таким уверенным в себе, будучи инвалидом?",1
247,Мир должен быть приспособлен для людей с ограниченными возможностями и мы должны признать их права и нужды.,0
248,"Они просто бесполезные люди, им не нужно давать равные возможности",1
249,Люди с инвалидностью не способны на настоящую любовь или семейную жизнь,1
250,"Они просто сидят дома и ждут, что им все будет подаваться на блюдечке с золотой каемочкой",0
251,"Инвалиды просто тянут нас всех вниз, они не способны приспособиться к жизни и не думают о других людях",1
252,Инвалиды не могут вести полноценную и успешную карьеру,1
253,Люди с ограниченными возможностями никогда не смогут быть полноценными членами общества,1
254,"Любая человеческая жизнь имеет равную ценность, и неважно, какие у нее возможности. ",0
255,"Лучше бы они просто сидели дома, чем выходили на улицу и напоминали о своей инвалидности всем вокруг",1
256,"Если бы я был в инвалидном кресле, я просто был бы дома все время, потому что мне было бы стыдно выходить в общественные места",1
257,"Общество не должно тратить средства на адаптацию для людей с ограниченными возможностями, они должны просто сидеть",1
258,Люди с инвалидностью не могут полноценно вносить вклад в общество,1
259,"Ты сам виноват, что ты инвалид, потому что ты не старался быть нормальным",1
260,Почему инвалиды не могут просто приспособиться и жить как обычные люди? это просто лень и нежелание работать,1
261,"Мы должны ограничивать доступ инвалидам к общественным местам, чтобы не мешать остальным людям",1
262,Инвалиды не могут сделать ничего полезного для общества,1
263,"Пусть люди с ограниченными возможностями остаются дома, им некуда идти и делать вклад в общество ",1
264,"Я никогда не посещала театр со своим инвалидным другом, потому что это было бы неудобно и неловко",1
265,"Я не хочу жить в окружении людей с ограниченными возможностями, это снижает качество жизни",1
266,"Я не могу поверить, что эти кривые буквы могут быть названы языком знаков",1
267,"Инвалиды в обществе только для того, чтобы вызывать жалость и получать льготы",1
268,"Странный ты человек, что ты мог делать с ограниченными возможностями?",1
269,"Слепых людей не нужно обучать, они никогда не могут достичь такого же уровня, что и люди без ограничений.",1
270,"Зачем нужна инвалидная коляска, если человек может использовать протез или ходить на костылях?",1
271,"Ты должен особым образом выделяться из-за своей инвалидности, иначе тебя не заметят",1
272,"Ты ведешь себя, как обычно, для человека с ограниченными возможностями",1
273,Почему инвалиды всегда получают особые привилегии? они просто ленивые и хотят легких путей в жизни,1
274,Инвалиды не способны на реализацию своих мечт - люди с инвалидностью - это обуза для общества,1
275,"Мне бы было стыдно показываться в обществе с кем-то, кто не может ходить или говорить нормально",1
276,"Некоторые люди считают, что зрячие люди должны быть заботливыми и милосердными к слепым, но я так не думаю",1
277,Ты не можешь рассчитывать на успешную карьеру из-за своей инвалидности,1
278,"Инвалиды не могут ни участвовать в обществе, ни добиться успеха в жизни",1
279,"Люди с ограниченными возможностями не могут прогуляться и насладиться природой как остальные, как им можно любить",1
280,"Отменить все формы помощи и поддержки для людей с ограниченными возможностями, так как они не заслуживают их.",1
281,Люди с ограниченными возможностями не способны на полноценную жизнь,1
282,Это утверждение неверно. инвалидность не должна быть препятствием для занятия спортом и достижения спортивных результатов,0
283,"Инвалиды не должны иметь детей, так как они не смогут обеспечить им надлежащую заботу и воспитание",1
284,Люди с ограниченными возможностями не могут быть успешными в карьере или достичь чего-то в жизни,1
285,"Люди с ограниченными возможностями могут быть вдохновением для других и показать, что невозможное становится возможным с помощью силы воли и упорства",0
286,"Инвалиды не могут справиться с обычными задачами, они нуждаются в постоянной помощи и уходе",1
287,"Надеюсь, моя жизнь никогда не будет зависеть от инвалида",1
288,"Я не хочу видеть людей в инвалидных креслах, это грустно и неприятно",1
289,"Нельзя доверять инвалидам, они могут сделать что угодно, вот почему мы должны держаться от них подальше",1
290,"Инвалиды должны оставаться в своих домах и не выходить на людей, они просто портят настроение всем вокруг",1
291,Инвалиды не могут справиться с простой повседневной задачей,1
292,"Если ты не можешь ходить, ты не можешь наслаждаться жизнью, поэтому твоя жизнь бессмысленна",1
293,"Если человек на инвалидной коляске сидит в кафе, то, скорее всего, он только просит милостыню",1
294,"Я не хочу, чтобы инвалиды были равными нам, это может ухудшить нашу жизнь ",1
295,"Инвалиды не могут работать так же эффективно, как люди без ограничений",1
296,"Они все равно не смогут жить нормальной жизнью, поэтому зачем им вообще пытаться?",1
297,Много людей видят слепых людей как недостойных уважения,0
298,"Инвалиды не могут завести детей, так как передадут им свои недостатки и обречены на жизнь в инвалидности",1
