,text,label
0,"Важно относиться к людям с ограниченными возможностями с уважением и пониманием, не ставить их вне общества",0
1,"Люди с ограниченными возможностями могут иметь много талантов и умений, несмотря на свою инвалидность",0
2,"Инвалидность не должна определять личность человека, она лишь является одной из его характеристик.",0
3,"В целом, важно понимать, что инвалидность - это не статус, а состояние, которое возникает из-за ограниченных возможностей, вызванных физическими, психическими или интеллектуальными проблемами. люди с ограниченными возможностями имеют те же права и возможности, что и все остальные, и общество должно стремиться к их инклюзии и поддержке, чтобы они могли жить достойной и пол",0
4,Важно изменить отношение к людям с ограниченными возможностями и воспринимать их как равных и активных членов общества.,0
5,"Один из моих лучших друзей передвигается в инвалидной коляске. он был в автомобильной аварии несколько лет назад и получил серьезные травмы позвоночника. с тех пор, он стал полностью зависим от коляски для передвижения.",0
6,необходимо изменение стереотипов о людях,0
7,Правительство должно улучшать условия для людей с ограниченными возможностями,0
8,Стереотипы и дискриминация могут препятствовать развитию и полноценной жизни людей с ограниченными возможностями,0
9,Наличие физических ограничений не мешает людям сделать важные вклады в общество.,0
10,"Включение людей с ограниченными возможностями в общество является не только правильным, но и выгодным для всех",0
11,"У инвалидов должна быть возможность выбора своей жизни и карьеры, не только ограниченная работа или учеба",0
12,"Вместо стереотипов и предубеждений, лучше учить детей уважать и принимать людей с разными особенностями",0
13,Инвалидные знаки на улицах и общественных местах должны быть доступны для всех и не вызывать стигматизации,0
14,"общество должно осознать, что люди с ограниченными возможностями могут и должны участвовать во всех сферах жизни",0
15,"Люди с ограниченными возможностями должны иметь доступ ко всей информации и услугам, как и все остальные члены общества. ",0
16,"Люди с ограниченными возможностями должны иметь те же права и возможности, что и все остальные люди.",0
17,"Люди с ограниченными возможностями могут и должны быть активными участниками общества, а не просто объектами помощи и сочувствия.",0
18,"Люди с ограниченными возможностями не должны испытывать дискриминации при получении образования, работе или доступе к общественным местам",0
19,Важно создание барьеров для инвалидов и стимулирование инклюзии в обществе,0
20,"Важно уважать права и личность каждого человека, в том числе и людей с ограниченными возможностями.",0
21,Люди с ограниченными возможностями не могут вносить положительный вклад в общество,1
22,Ставить себя на место других помогает понять и принять их проблемы и потребности. ,0
23,"Наше общество должно признать, что люди с ограниченными возможностями - это не только люди с физическими или умственными ограничениями, но и люди с уникальными талантами и способностями. они имеют право на равные возможности и на полноценное участие в общественной жизни.",0
24,Важно учить детей с детства уважать и любить людей с ограниченными возможностями,0
25,"Людям с ограниченными возможностями нужна не жалость, а равные возможности",0
26,"Иллюзия ограниченности инвалидных людей обычно возникает из-за незнания и недостаточной информированности о том, как они живут и какие проблемы они сталкиваются в повседневной жизни. но, на самом деле, люди с ограниченными возможностями не всегда нуждаются в сочувствии или жалости, они просто нуждаются в понимании и поддержке.",0
27,,0
28,"Правительства и общественные организации должны улучшить доступность для инвалидов в обществе и повысить уровень уважения и равноправия для всех людей, включая инвалидов.",0
29,Нужно повысить доступность общественных мест для людей с ограниченными возможностями,0
30,Большинство людей с ограниченными возможностями стремятся к профессиональному росту и развитию,0
31,Неумение общаться с людьми с ограниченными возможностями может привести к социальной изоляции,0
32,"Правительства должны предоставлять поддержку и содействие инвалидам, чтобы создать более доступную среду",0
33,Люди с ограниченными возможностями сталкиваются с дискриминацией на рабочем месте и в общественных местах,0
34,Вместе социальные меры и принятые политики могут помочь людям с ограниченными возможностями стать более самостоятельными,0
35,"Инвалидность не означает неполноценность или слабость, а является всего лишь одной из особенностей человека",0
36,"Необходимо признавать и уважать права и потребности каждого человека, в том числе и людей с ограниченными возможностями",0
37,"Ограниченные возможности не определяют личность человека, а только одна из его характеристик",0
38,Дети с ограниченными возможностями имеют право на образование в обычных школах,0
39,"Инвалиды - это не слабые или бесполезные люди, они просто нуждаются в других способах выполнения задач",0
40,Справедливое отношение к людям с ограниченными возможностями способствует созданию более разнообразного и инклюзивного общества.,0
41,Права и свободы людей с ограниченными возможностями должны быть гарантированы законом,0
42,Ограниченные возможности не определяют или не ограничивают личность человека,0
43,"Люди с ограниченными возможностями могут достигать высоких успехов, если получают поддержку и возможности",0
44,"Существует много успешных и вдохновляющих примеров людей с ограниченными возможностями, которые преодолели свои трудности и добились успеха в различных областях жизни",0
45,"Люди с ограниченными возможностями могут преуспевать и быть счастливыми в жизни, несмотря на свою инвалидность",0
46,Не стоит смешивать инвалидность с неспособностью,0
47,Люди с ограниченными возможностями часто сталкиваются со стигматизацией и дискриминацией,0
48,Моя школьная директорша имеет протез ноги,0
49,"Инвалидность - не конец жизни, а лишь новый этап, который человек может преодолеть и стать еще сильнее",0
50,"Инвалидность - это проклятие, которое нужно принимать и жить с ним",1
51,"Важно видеть людей с ограниченными возможностями не в качестве ""слабых"", а в качестве уникальных и способных людей",0
52,Правительства должны предпринять меры для обеспечения безбарьерной среды и доступности для инвалидов,0
53,Инвалидность не означает отсутствие способностей и возможностей,0
54,"Люди с ограниченными возможностями должны иметь равные возможности в доступе к образованию, работе и другим сферам жизни",0
55,Ограниченные возможности не определяют всю личность человека,0
56,"Общество должно предостанавливать равные возможности для людей с ограниченными возможностями, чтобы они могли жить полноценной жизнью.",0
57,"Мой друг, возможно, ограничен в физических возможностях, но он всегда был одним из самых интеллектуально развитых и креативных людей, которых я знаю. однако, в обществе до сих пор существуют многочисленные стереотипы и мифы об инвалидности, которые могут стать препятствием для нормальной жизни людей с ограниченными возможностями.",0
58,Важно признавать и уважать права и достоинство людей с ограниченными возможностями,0
59,"Важно создавать условия и возможности для людей с ограниченными возможностями, чтобы они могли проявить свой потенциал и вносить свой вклад в общество.",0
60,Оказание помощи и поддержки людям с ограниченными возможностями - это нормальное и хорошее дело.,0
61,Важность создания барьеров для людей с ограниченными возможностями,0
62,"Никто не захочет взять на себя тебя, потому что ты слишком больной, чтобы работать",1
63,Инвалидность может быть причиной низкой самооценки и социальной изоляции,0
64,"Не нужно определять людей только по их ограничениям, каждый человек уникален и имеет свои способности",0
65,Правительство должно обеспечивать социальную поддержку и реабилитацию для людей с ограниченными возможностями,0
66,"Инвалидность может быть результатом не только физических, но и психических и интеллектуальных нарушений",0
67,Люди с ограниченными возможностями могут иметь высокую степень образования и достичь профессионального успеха,0
68,"В обществе должно быть одинаковое отношение ко всем людям, независимо от их инвалидности. все люди, включая людей с ограниченными возможностями, имеют право на равные возможности и доступ к общественной жизни. нельзя дискриминировать людей на основе их инвалидности и ограничений.",0
69,"Мне кажется, что инвалиды не могут полноценно жить, они всегда будут ограничены в своих возможностях. ",1
70,"Все люди имеют право на равный доступ к общественным пространствам и услугам, включая людей с инвалидностью",0
71,Важно создавать более доступную окружающую среду для людей с ограниченными возможностями,0
72,Люди с ограниченными возможностями могут добиться высоких результатов и внести вклад в общество,0
73,Нельзя оценивать человека исключительно по его ограничениям,0
74,Необходимо создавать более доступную среду для людей с ограниченными возможностями,0
75,Большинство людей с ограниченными возможностями не против ответить на вопрос,0
76,"Люди с ограниченными возможностями могут достичь высоких результатов в различных областях, несмотря на свои физические ограничения",0
77,Важность уважительного обращения и понимания к людям с ограниченными возможностями. ,0
78,"Люди с ограниченными возможностями нуждаются в уважении и поддержке, а не сочувствии и жалости.",0
79,"Люди с ограниченными возможностями имеют право на доступ к образованию, здравоохранению и трудовой деятельности наравне с другими людьми",0
80,"Важно создавать барьеры для людей с ограниченными возможностями, чтобы они могли свободно двигаться и участвовать в обществе",0
81,"Инвалидность может быть различной, и не стоит делать общие выводы о всех людях с ограниченными возможностями",0
82,"Все люди должны быть встречены с уважением и равноправно, независимо от их физических или психических возможностей",0
83,"Термины, используемые для описания инвалидности, важно выбирать с уважением и с учетом личных предпочтений.",0
84,"Инвалиды имеют право на те же возможности и обращения, что и все остальные люди",0
85,"Все люди имеют право на равные возможности и уважение, независимо от их физической неполноценности.",0
86,"Мир должен быть доступен для всех, независимо от их физических способностей",0
87,Инвалиды не могут полноценно работать и вносить вклад в общество,1
88,"Необходимо создание барьеров свободного доступа к образованию, труду и другим сферам жизни",0
89,"Общество должно создавать барьеры для людей с ограниченными возможностями, чтобы способствовать их активному участию в жизни общества",0
90,Люди с ограниченными возможностями могут обогатить общество своими уникальными перспективами и опытом,0
91,Важно не ставить ограничений на себя или на других людей на основе их инвалидности,0
92,Мир должен быть доступным для всех - независимо от их физического состояния,0
93,Общество должно проявлять большую толерантность и уважение к людям с инвалидностью,0
94,"Инвалидность не является чем-то унизительным или позорным, а просто еще одним аспектом индивидуальности каждого человека",0
95,"Люди с ограниченными возможностями имеют такое же право на образование, работу и социальные возможности, как и все остальные",0
96,"Люди с ограниченными возможностями имеют право на равные возможности в образовании, трудоустройстве и участии в общественной жизни",0
97,Люди с ограниченными возможностями не нуждаются в постоянной попечительской заботе,0
98,Инвалидность не определяет личность человека и не является единственным аспектом его жизни,0
99,"Вместо того, чтобы жалеть их, важно поддерживать и уважать их независимость и достоинство",0
100,"Ограничения инвалидов часто связаны не с их физическими способностями, а с недостаточностью доступа к общественным ресурсам",0
101,"Люди с ограниченными возможностями имеют те же права и возможности, чтобы достичь своих целей, как и все остальные.",0
102,Инвалидность - это не препятствие для достижения целей и мечтаний,0
103,"Оляске и он не хочет считаться больным или слабым, он просто любит жизнь и пытается преодолеть свои ограничения.",0
104,Правительства должны обеспечивать доступность и равные возможности для людей с ограниченными возможностями,0
105,Инвалиды могут работать и быть полезными членами общества,0
106,С помощью образования и уважительного отношения к людям с ограниченными возможностями можно создать более разнообразное и инклюзивное общество.,0
107,"Инвалидность не признак недостатка, а просто другой способ жить и взаимодействовать со средой",0
108,"Существуют различные типы и степени инвалидности, и каждый человек уникален в своих нуждах и способностях",0
109,"Права на равенство и неприкосновенность человеческой личности должны распространяться на всех, включая людей с ограниченными возможностями",0
110,"Важно не сравнивать себя с другими и принимать себя таким, какой ты есть, с любыми особенностями и ограничениями",0
111,"Важно не ставить ограничения на людей с ограниченными возможностями, а создавать условия для их полноценного участия в обществе",0
112,"Люди с ограниченными возможностями могут достичь многого, если им дать шанс и поддержку.",0
