text,label
"Тупые и бессмысленные люди становятся инвалидами, им не стоит тратить на них деньги",1
Люди с ограниченными возможностями имеют право на равные возможности в обществе и на рабочем месте,0
"Я думаю, что инвалиды должны жить отдельно от нас, мне не хочется видеть их",1
"Инвалиды должны быть изолированы от общества, чтобы не мешать нормальным людям",1
"Детей с ограниченными возможностями нужно отдавать в специальные школы, чтобы не мешали остальным ученикам",1
"Инвалиды должны оставаться в отдельных общественных заведениях, чтобы не смущать других людей",1
Инвалиды не могут достичь успеха в жизни,1
"Ты ведешь себя, как обычно, для человека с ограниченными возможностями",1
"Некоторые люди считают, что зрячие люди должны быть заботливыми и милосердными к слепым, но я так не думаю",1
Каждый человек заслуживает уважения и равенства независимо от физических способностей,0
"Государственные организации должны предоставлять лучшие условия и возможности для людей с ограниченными возможностями, чтобы они могли стать самодостаточными и участвовать в обществе наравне с другими.",0
"У инвалидов есть право на любовь и любовные отношения, как и у всех остальных людей",0
"Мы должны ограничивать доступ инвалидам к общественным местам, чтобы не мешать остальным людям",1
"Инвалидность - это не только физические ограничения, но и социальные проблемы, такие как могут быть дискриминация и доступность общественных мест и услуг",0
Инвалиды не могут управлять автомобилями,1
"Инвалиды - это только мешок с костями, нет смысла в их существовании",1
"Важно не сравнивать себя с другими и принимать себя таким, какой ты есть, с любыми особенностями и ограничениями",0
Бедные люди с ограниченными возможностями никогда не смогут иметь счастливую семью,1
Инвалиды не могут работать и быть продуктивными членами общества,1
"Инвалиды ведут более трудную жизнь, но это не значит, что они менее счастливы",0
Инвалидность может быть временной или постоянной и не определяет личность человека,0
Нельзя оценивать человека исключительно по его ограничениям,0
"Они просто бесполезные люди, им не нужно давать равные возможности",1
Инвалиды не могут полноценно работать и вносить вклад в общество,1
"Так несправедливо, что инвалиды получают больше пособий и льгот, чем обычные люди",1
Мир должен быть приспособлен для людей с ограниченными возможностями и мы должны признать их права и нужды.,0
Люди с ограниченными возможностями не могут сделать ничего полезного или интересного,1
Инвалиды получают слишком много привилегий и поддержки от правительства ,1
Люди с ограниченными возможностями могут успешно работать и достигать успеха в различных сферах жизни,0
Зачем ограниченным людям вообще выдавать права на вождение? они только мешают на дороге,1
"Это нарушение закона о равных возможностях для всех, ты должен быть на равных с другими людьми",0
Многие люди с ограниченными возможностями преодолевают свои проблемы и достигают успеха благодаря своей силе воли и настойчивости.,0
"Важно создавать барьеры для людей с ограниченными возможностями, чтобы они могли свободно двигаться и участвовать в обществе",0
"Инвалиды должны оставаться в своих домах и не выходить на людей, они просто портят настроение всем вокруг",1
"Вместо того, чтобы жалеть их, важно поддерживать и уважать их независимость и достоинство",0
"Мир должен быть доступен для всех, независимо от их физических способностей",0
"Надеюсь, моя жизнь никогда не будет зависеть от инвалида",1
Люди с инвалидностью не могут внести ценный вклад в общество и должны быть исключены из рабочей среды.,1
