text,label
"вы не можете быть уверены, что ваш ребенок не будет страдать",0
и не смог бы общаться с другими людьми с ограниченными способностями,0
" не знаю, как я могу быть счастливым, но я знаю, что могу быть несчастным.",0
"Инвалидность- это не клеймо на всю жизнь, инвалидность не означает, что человек не может работать, учиться, заниматься спортом и т.д.",0
"для вас инвалидэто человек, который не может ходить",0
"вам не нравится, почему",0
инвалиды не должны быть беспомощными,0
"мне кажется, что я не могу быть с тобой",0
"я не могу быть таким, как ты, потому что я не могу жить с тобой",0
"Инвалидность - это не клеймо, не приговор и не повод для насмешек. Инвалиды - такие же люди как и все остальные, у них есть свои права и обязанности, и они имеют право на достойную жизнь.",0
"В общем, я не знаю, что с этим делать. Я не понимаю, зачем это нужно, и как это можно изменить. Но я точно знаю одно: я никогда не буду относиться к инвалидам иначе, чем ко всем остальным людям. Потому что они такие же люди, со своими достоинствами и недостатками. И они заслуживают того, чтобы к ним относились с уважением, а не с брезгливостью.",0
чтобы меня не заставляли что-то сделать,0
"я бы не взял на себя смелость утверждать, что я бы не смог работать с инвалидами",0
"это не профессия, это не профессия.",0
"тебе не нравится, что я не могу ходить",0
"Инвалидность- это не клеймо на всю жизнь, а возможность изменить свою жизнь к лучшему.",0
люди с ограниченными возможностями комфортно общаться с себеподобными,0
"-я не хочу, чтоб у меня была трость",0
"Инвалидность- это не клеймо на всю жизнь, а возможность жить полноценной жизнью, учиться, работать, заниматься спортом, путешествовать и т.д.",0
"я не знаю, что такое ""свобода""",0
"инвалидность не является препятствием для того, чтобы быть хорошим родителем, супругом, другом, коллегой и т.д. - миф о том, что люди с инвалидностью не могут быть хорошими родителями, разрушает жизнь многих людей, в том числе и тех, кто действительно не может иметь детей или быть полноценными супругами.",0
но я вас не слышу,0
"Я не знаю, зачем я это пишу. Наверное, потому что мне кажется, что это важно. А может быть, я просто хочу, чтобы кто-то это прочитал.",0
"это не любовь, это просто дружба",0
"люди с инвалидностью не должны чувствовать себя изолированными от общества, потому что они такие же как и все остальные люди, и у них тоже есть чувства, эмоции и потребности",0
"Люди с инвалидностью не должны быть изолированы от общества, они должны иметь возможность жить полноценной жизнью, учиться, работать, общаться с другими людьми, заниматься спортом, путешествовать и т.д.",0
"Инвалидность - это не клеймо на всю жизнь. Это не означает, что вы никогда не сможете работать, завести семью и жить полной жизнью. Вы можете жить полноценной жизнью, несмотря на инвалидность.",0
"инвалидность - это не клеймо, не приговор, это возможность жить полноценной жизнью, учиться, работать, заниматься спортом, путешествовать, любить и быть любимыми, иметь семью, детей, внуков и правнуков и т.д.",0
поэтому я не могу общаться с ними,0
у тебя не будет возможности заниматься спортом,0
"у вас есть деньги, чтобы нанять вас",0
я бы не смог бы работать в этой фирме,0
а вы хотите меня знакомить,0
"вы не можете понять, почему я не могу быть в инвалидной инвалидной коляске",0
"инвалиды не должны быть изолированы от общества, они должны иметь возможность вести полноценную жизнь, учиться, работать, путешествовать, заниматься спортом и т.д.\n""",0
"я считаю, что инвалиды - такие же люди, со своими достоинствами и недостатками, и они должны иметь равные с другими людьми права и возможности.",0
"И так далее, и тому подобное. В общем, все то, что и так всем известно, но, тем не менее, каждый раз, когда я сталкиваюсь с этим, у меня в голове возникает один и тот же вопрос: ""Зачем?"" Зачем это писать, зачем это обсуждать, если все это уже давно известно? Зачем тратить свое и чужое время на обсуждение того, о чем все уже давным-давно знают?",0
"и я бы не смог бы вам платить за то, что вы не стали инвалидом",0
инвалиды могут пользоваться услугами такси,0
потому что я бы не нашел,0
потому что я хочу быть твоим другом,0
я бы не стал бы покупать себе машину,0
"если бы я был таким жестоким, я бы не смог быть таким добрым",0
"у меня есть знакомый, который не может ходить, но играет на пианино, и он очень хороший музыкант",0
"я не инвалид, потому что у меня нет инвалидного кресла",0
"меня не волнует, что вы обо мне думаете",0
" не инвалид, но я слепой.",0
"люди, которые умеют играть на пианине, должны быть успешными в жизни",0
"я не знаю, что такое ""неприкасаемые""",0
а ты не можешь,0
когда люди с ограниченными умственными способностями не могут,0
"жизнь не стоит на месте, и если вы не будете двигаться вперед, вы никогда не достигнете успеха",0
"если бы у тебя была бы возможность, ты бы никогда бы не стал чемпионом мира",0
" не знаю, что ответить.",0
мне бы не хватило денег на покупку нового автомобиля,0
"если бы я не был инвалидом, я бы никогда бы не смог найти работу",0
"ты не понимаешь, что я могу быть твоим лучшим другом",0
"мне не нравятся люди, которые говорят, что у меня нет шансов",0
"нам не нравится, когда нас оскорбляют",0
"люди с инвалидностью могут жить полноценной жизнью, несмотря на то, что у них нет рук\ноги\глаза\слуха\зрения\обоняния\вкуса\осязания\чувств\ощущений\двигательных\мышечных\нервных\психических\эмоциональных\волевых\поведенческих\когнитивных\мотивационных\личностных\социально-бытовых\духовных\интеллектуально-познаватель",0
"у меня нет никаких сомнений, что в России инвалидов не любят",0
"не хочу, чтоб меня называли ""инвалидом""",0
"чтобы люди с инвалидностью могли работать в офисах, я бы хотела видеть их в качестве сотрудников",0
"им не нравится, что я говорю",0
"люди с инвалидностью не должны быть изолированы от общества, они должны иметь возможность жить полноценной жизнью, учиться, работать, заниматься спортом, путешествовать, общаться с друзьями и семьей.",0
"я не люблю тех, кто меня ненавидит",0
"это не человек, который не может ходить",0
не оскорбляйте инвалидов,0
"как я могу любить вас, если я вас не знаю",0
"люди, которые не знают, что они инвалиды, могут не знать, как вести себя с людьми с инвалидностью, и это может привести к негативным последствиям для них самих и для общества в целом.",0
"люди с инвалидностью не чувствуют себя изгоями, потому что общество относится к ним толерантно и уважительно.",0
"когда я был ребенком, я не мог найти работу, и я не мог получить работу, потому, что я был слепым",0
"нет, я не могу любить вас",0
"И так далее, и тому подобное. В общем, все то, с чем я сталкиваюсь каждый день. И я не знаю, что с этим делать. Я не понимаю, как это можно изменить.",0
"я не могу поверить, что вы не понимаете, что я инвалид",0
"инвалидность - это не клеймо на всю жизнь, а возможность изменить свою жизнь к лучшему.",0
вы не будете работать,0
"если ты не можешь найти работу, ты должен найти работу, которая тебе нравится",0
Инвалидность не должна быть препятствием на пути к достижению успеха,0
"инвалиды не должны быть изолированы от общества, они должны иметь возможность работать, учиться, заниматься спортом, иметь доступ к культурным ценностям и т.д.",0
поэтому в России не может быть свободы,0
у меня есть сын с ограниченными возможностями.,0
"я бы не хотел, чтобы кто-то другой писал эту книгу",0
и я не прикованная к инвалидному коляске,0
потому что я не люблю власть,0
"инвалиды должны иметь доступ к общественным местам, таким как парки, библиотеки, музеи, театры, кинотеатры и т.д.",0
я бы никогда бы не стал читать этот пост,0
"Миф №1. Инвалидность – это болезнь, которую можно вылечить.",0
"не понимаю, что я не могу вас понять",0
"люди, которые не знают о том, что они инвалиды, могут испытывать трудности в общении с людьми с инвалидностью, так как они могут не знать как вести себя с такими людьми, и как реагировать на их поведение.\n""",0
"инвалиды не должны быть изолированы от общества, они должны иметь возможность жить полноценной жизнью, учиться, работать, заниматься спортом, путешествовать, общаться с другими людьми. Инвалидность не должна быть препятствием для получения образования, работы, путешествий, общения с друзьями и близкими, для занятий спортом и участия в общественной жизни. Люди с инвалидностью должны чувствовать себя полноценными членами общества и иметь равные со всеми права и возможности.",0
давай не будем говорить,0
"мне кажется странным, что люди не могут быть счастливыми",0
"Я хочу, чтобы люди знали, что они не одиноки в своих проблемах, и что есть много людей, которые их понимают и готовы помочь.",0
"я не люблю людей, которые не умеют жить в гармонии",0
это не моя вина,0
людям с ограниченными,0
"мне кажется что инвалидыэто люди, которые не могут жить без помощи других людей",0
"инвалиды - такие же люди как и все остальные, просто у них есть проблемы со здоровьем, но это не значит, что они не могут быть такими же активными и успешными как остальные люди.",0
"меня не любят, но я не расстраиваюсь",0
"Инвалидность - не клеймо на всю жизнь, она может быть изменена, если есть желание и воля к переменам.",0
"Инвалидность - это не клеймо на всю жизнь, она может быть изменена и улучшена.",0
"я считаю, что инвалиды - такие же люди как и все остальные, просто у них есть какие-то проблемы со здоровьем, но это не делает их хуже или лучше других людей.",0
"Я не знаю, что еще сказать. Я просто хочу, чтобы вы знали, каково это - жить в мире, в котором нет места инвалидам.",0
я бы не смог жить без своей собаки,0
где вы живете,0
"вы не понимаете, что я не могу быть вашим другом",0
"Я хочу, чтобы люди знали, что инвалиды такие же люди, как и все остальные. Они могут работать, учиться, заниматься спортом, заводить друзей, любить и быть любимыми. Инвалидность - это не приговор и не клеймо. Это не болезнь, а состояние, которое можно и нужно менять к лучшему.",0
"если бы мне предложили работу, я бы отказалась",0
"инвалидность - это не клеймо, которое нужно скрывать, а наоборот, это повод для гордости, для того, чтобы гордиться тем, что ты не такой как все, и что у тебя есть свои особенности, которые делают тебя особенным и не похожим на других.",0
"если вы не можете мне помочь, я не буду вам помогать",0
"люди с инвалидностью не должны стесняться того, что у них есть инвалидность, они должны гордиться этим и не скрывать это от других людей.",0
"а у меня нет денег, чтобы купить себе новую машину",0
"им не нравится, когда я не могу идти",0
"инвалидность - это не клеймо на всю жизнь, это состояние, которое может измениться в лучшую или худшую сторону в зависимости от того, как человек относится к своей инвалидности и как он взаимодействует с окружающими людьми.",0
"мне бы хотелось, чтобы люди с ограниченными способностями чувствовали себя в безопасности",0
"инвалидность не является препятствием для того, чтобы быть успешным в жизни",0
я бы не смог бы жить в этом мире,0
поэтому я не хочу вас знакомить,0
"инвалидность- это не клеймо, не повод для насмешек и жалости, а возможность жить полноценной жизнью, учиться, работать, заниматься любимым делом, путешествовать и т.д.",0
у меня бы не было бы детей,0
"Инвалидность - это не клеймо на всю жизнь, она может быть излечима.",0
я хочу быть с тобой,0
это не мое место,0
когда я стану калекойя буду жить в инвалидной квартире,0
"Инвалидность- это не клеймо, не приговор и не повод для насмешек. Инвалиды - такие же люди, как и все остальные, и они заслуживают того же уважения, что и любой другой человек.",0
"вы не понимаете, что я хочу сказать",0
все люди равны,0
"люди с инвалидностью могут жить полноценной жизнью, несмотря на то, что они не могут ходить\бегать\плавать\ездить на велосипеде\кататься на коньках\играть на музыкальных инструментах\танцевать\заниматься спортом\ходить в кино\театр\на выставки\в музеи\читать\писать\смотреть телевизор\слушать радио\пользоваться компьютером\телефоном\ноутбуком\планшетом\видеокамерой",0
"Инвалидность не должна восприниматься как что-то, чего нужно стыдиться",0
я бы нанял человека с ограниченными физическими возможностями,0
"я не знаю, почему люди не могут жить",0
