,text,label
0,"инвалиды - такие же люди как и все остальные, просто у них есть какие-то проблемы со здоровьем, но это не значит, что они не могут работать, учиться и т.д.",0
1,"Я не знаю, что мне делать. Я не хочу, чтобы мой сын рос в мире, где инвалиды - это люди второго сорта, а не люди, которым просто не повезло родиться с определенными физическими недостатками. И я не вижу другого выхода, кроме как бороться с этими мифами и предрассудками.",0
2,"Я не знаю, что еще сказать, но мне кажется, это очень важная тема.",0
3,"дети должны знать, что инвалиды - такие же люди, как и все остальные, и что они не должны стыдиться своих родителей, братьев и сестер, бабушек и дедушек, а также других членов семьи, которые могут быть инвалидами.",0
4,"инвалидность не является препятствием для того, чтобы быть счастливым и полноценным членом общества.\n""",0
5,"люди с инвалидностью не должны быть изолированы от общества, они должны иметь возможность жить полноценной жизнью, учиться, работать и т.д.\n""",0
6,"люди с инвалидностью могут жить полноценной жизнью, не испытывая при этом чувства стыда и смущения, как это происходит у большинства людей, которые не являются инвалидами.",0
7,"люди с инвалидностью могут жить полноценной жизнью, даже если у них нет руки\ноги\глаза\зрения\слуха\обоняния\вкуса\осязания\движения\чувств\ощущений\эмоций\воли\характера\темперамента\интеллекта\способностей\талантов\навыков\знаний\интересов\увлечений\хобби\любви\семьи\детей",0
8,"люди с инвалидностью не должны быть изолированы от общества, они должны иметь возможность жить полноценной жизнью, учиться, работать, заниматься спортом, путешествовать, общаться с другими людьми, участвовать в общественной жизни и т.д.",0
9,"инвалиды должны иметь доступ к общественным местам, таким как парки, библиотеки, музеи, театры, кинотеатры и т.д. - инвалидам не должно быть отказано в доступе к общественному транспорту, общественным зданиям, паркам, музеям, библиотекам и театрам, а также в местах отдыха и развлечений, таких как рестораны, кафе, бары, клубы, дискотеки и другие общественные места.",0
10,"инвалиды должны иметь равные права с другими людьми, в том числе право на образование, трудоустройство, участие в общественной жизни и т.д.",0
11,"Инвалидность - не клеймо на всю жизнь, а возможность изменить свою жизнь к лучшему.",0
12,"инвалиды не должны испытывать чувство вины за то, что они такие, какие они есть, потому что это не их вина, а их беда, с которой они должны бороться.",0
13,"люди с инвалидностью часто чувствуют себя изолированными от общества, потому что они не вписываются в стереотипные представления о том, что инвалиды должны быть тихими, пассивными и беспомощными.",0
14,"Я не знаю, что делать. Я не хочу, чтобы мои дети росли в мире, где инвалиды не могут быть полноценными членами общества. И я не вижу другого выхода, кроме как бороться с этими мифами и заблуждениями.",0
15,инвалидность не должна быть препятствием на пути к достижению успеха,0
16,"Я считаю, что каждый человек имеет право на жизнь, здоровье, образование, работу, семью и т.д. и это не должно зависеть от того, является ли он инвалидом или нет. Я хочу, чтобы люди относились к людям с инвалидностью так же как и к другим людям, а не как к чему-то особенному.",0
17,"люди с инвалидностью должны иметь равные права и возможности с другими людьми, в том числе право на образование, трудоустройство, участие в жизни общества и т.д.",0
