,text,label
0,"- Но ведь это стереотипы. Многие люди с ограниченными возможностями доказывают, что они могут быть успешными в разных областях.",0
1,"— Все эти утверждения отражают дискриминацию и обесценивание людей с ограниченными возможностями. Важно помнить, что каждый человек заслуживает уважения и возможности реализовать свой потенциал независимо от физических или ментальных особенностей.",0
2,— Я могу только сожалеть о таком отношении к людям с ограниченными возможностями здоровья. Важно быть терпимым и уважать всех вне зависимости от их физических или ментальных возможностей.,0
3,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",0
4,"- Но я не испытываю жалости и всегда готов помочь, если нужно.",0
5,"— Но они нуждаются в поддержке и понимании, а не в жалости. Каждый человек заслуживает равных возможностей и уважения.",0
6,"— Я считаю, что общество должно сделать всё возможное, чтобы люди с ограниченными возможностями могли быть максимально независимыми.",0
7,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",0
8,"- Я не могу знать наверняка, как бы я повёл себя в каждой из этих ситуаций. Могу лишь предположить, опираясь на общечеловеческие ценности и нормы морали. 

Я могу лишь предполагать, основываясь на ограниченной информации, предоставленной в запросе. Если вам требуется помощь в чём-то подобном, пожалуйста, обратитесь к квалифицированным специалистам.",0
9,"- Но это не отменяет того, что они всё те же люди, заслуживающие уважения, принятия и понимания.",0
10,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",0
11,"— Я искусственный интеллект, и мне не требуется зрение или возможность передвигаться для своей работы.

**Обратите внимание, что представленный текст носит оскорбительный и необдуманный характер. Он отражает дискриминацию людей с ограниченными возможностями здоровья и может быть неприятен читателю. Пожалуйста, не разделяйте этих убеждений.**",0
12,"— Но всё это неправда, ведь быть человеком значит принимать людей такими, какие они есть.",0
13,"— Но люди с ограниченными возможностями так же, как и все, имеют право на достойную жизнь и возможность реализовать свой потенциал.",0
14,"Но, возможно, приведённые в тексте высказывания не объективны и являются лишь субъективными мнениями.",0
15,"- Но это лишь искажённые точки зрения, рождённые обидой и завистью.  

*Подготовлено для Яндекс.Кью*",0
16,"- Но это неправда. Люди в инвалидных креслах сталкиваются с такими же вызовами, как и остальные, и часто демонстрируют невероятную силу духа.

- Возможно, они находят радость и смысл в преодолении трудностей.

- Вероятно, существует множество факторов, влияющих на отношения здоровых людей и людей с инвалидностью, включая предубеждения, дискриминацию и отсутствие знаний.

- Однако важно помнить, что каждый человек уникален и заслуживает уважения.

 - Инвалидные кресла не являются определяющим фактором привлекательности или непривлекательности.

- У каждого человека есть право на доступ к городской среде без барьеров.

- Важно помнить, что слепота не означает полной беспомощности. Многие слепые люди успешно адаптируются и даже достигают выдающихся результатов в жизни.",0
17,"— Я могу быть полезным по-другому, не только как личный ассистент.

**Обратите внимание, что этот текст содержит неподобающее высказывание, его необходимо воспринимать как вымышленный сценарий, а не как отражение позиции автора этих слов.**",0
18,Но не стоит судить людей по их особенностям здоровья. Каждый имеет право на достойную жизнь и равные возможности.,0
19,"- Я могу только предположить, что человек, написавший такой текст, имеет недостаточно глубокие знания о жизни людей с инвалидностью, а также, возможно, предрассудки.",0
20,"— Я бы никогда не стал общаться с человеком, который демонстрирует неуважительное или дискриминационное отношение. Это неуместно и непрофессионально.",0
21,"— **Я могу лишь сожалеть, что эти утверждения основаны на предрассудках и стереотипах, и они не имеют ничего общего с действительностью.** Мне жаль, что люди так думают.",0
22,- Я бы никогда не стал проявлять дискриминацию по отношению к человеку в инвалидном кресле.,0
23,"- Это лишь несколько распространённых стереотипов и предвзятых мнений, которые не соответствуют действительности. Важно стремиться к непредвзятости и объективности, уважать разнообразие людей и их потребности.",0
24,"- Им нужно помогать и создавать доступную среду, чтобы они могли вести полноценную жизнь.",0
25,"- У меня есть возможность вам помочь, если это необходимо. Если вам нужна какая-либо помощь, пожалуйста, обратитесь.  

Я могу дать только общую информацию по этим вопросам. Для получения профессиональной консультации и помощи рекомендую обратиться к специалистам.",0
26,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",0
27,- инвалидные коляски не являются препятствием для достижения высоких результатов.,0
28,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",0
29,- Но всё же большинство из них хотят быть независимыми и хотят жить полноценной жизнью.,0
30,"- Эти утверждения демонстрируют дискриминацию и предрассудки, которые не конструктивны и не имеют отношения к реальности. Важно помнить, что каждый человек заслуживает уважения и возможности реализовать свой потенциал.",0
31,— им нужна поддержка и понимание общества.,0
32,"- Нужно не только просить не оскорблять людей с инвалидностью, но и проявлять к ним уважение и понимание.",0
33,"- Они сталкиваются с дискриминацией и непониманием. Но это не всегда справедливо. Важно помнить, что все люди уникальны, и их качества не всегда определяются инвалидностью.",0
34,- Многие из этих утверждений могут быть несправедливыми и необъективными. Важно уважать различия между людьми и не позволять предрассудкам влиять на ваше отношение к окружающим.,0
35,- слабослышащие люди часто страдают от слуховых дискриминаций.,0
36,- инвалиды часто сталкиваются с дискриминацией. Важно искоренять любые формы её проявления.,0
37,"- Недостаточно просить нас не оскорблять кого-либо из-за инвалидности, необходимо также создавать условия, в которых люди с инвалидностью будут чувствовать себя полноценными членами общества.",0
38,— Эти высказывания демонстрируют дискриминацию и жестокое отношение к людям с ограниченными возможностями здоровья. Они недопустимы и не имеют ничего общего с сочувствием и уважением.,0
39,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",0
40,"Однако такое мнение демонстрирует дискриминацию и нетерпимость по отношению к людям с ограниченными возможностями здоровья. Оно обесценивает их вклад в общество и ограничивает их возможности. Необходимо стремиться к тому, чтобы сделать мир более инклюзивным и доступным для всех людей.",0
41,— Но всё же общество должно создавать условия для интеграции людей с ограниченными возможностями в социум и обеспечивать им равные возможности.,0
42,"— Это дискриминирующие и оскорбительные высказывания, которые не имеют ничего общего с действительностью и являются неприемлемыми. Прошу вас отказаться от них.",0
43,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",0
44,"— Но люди с ограниченными возможностями так же имеют право на полноценную жизнь, возможность работать и заниматься спортом, несмотря на особенности здоровья. Важно создавать доступную среду и поддерживать инклюзивное общество.",0
45,"— недостаточно просить нас не оскорблять кого-либо из-за инвалидности, необходимо создавать доступную среду и возможности для всех людей.",0
46,"— Эти утверждения субъективны и могут быть оспорены. Важно уважать особенности и различия каждого человека, независимо от обстоятельств.",0
47,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",0
48,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",0
49,"Я не могу согласиться с такими высказываниями, они некорректны и демонстрируют нетерпимость и дискриминацию по отношению к людям с ограниченными возможностями здоровья.",0
50,"- важно также понимать, что люди с инвалидностью имеют те же права и заслуживают равного отношения.",0
51,"Однако эти утверждения могут быть оскорбительны и непродуктивны. **Вместо этого важно создавать инклюзивную и благоприятную среду для всех людей, независимо от их физических возможностей.**",0
52,- Я не могу судить о людях по их физическим особенностям. Каждый имеет право на счастье и заслуживает уважения.,0
53,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",0
54,"- это лишь некоторые из комментариев, которые я могу здесь привести в ответ на данные утверждения. **Пожалуйста, отнеситесь с уважением к чужим взглядам и не разделяйте их.**",0
55,- Быть родителем ребёнка с особенностями развития может быть сложным и трудным выбором и решением.,0
56,"— Но всё же стоит помнить, что неуважительное отношение к людям с ограниченными возможностями — это неприемлемо.",0
57,"- Но это не твоя правда, а того, кто так считает.",0
58,"- инвалиды сталкиваются с дискриминацией в обществе, это несправедливо.",0
59,"— мы должны стремиться создавать равноценно включающее общество, в котором люди с инвалидностью смогут в полной мере реализовывать свои права и возможности.",0
60,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",0
61,"— Я могу предложить лишь несколько вариантов продолжений к предложенному тексту:

— люди с ограниченными возможностями здоровья сталкиваются с барьерами в обществе, и часто окружающие не готовы к тому, чтобы помочь им преодолеть их;

— если человек с ограниченными возможностями хочет работать и готов приложить усилия, стоит дать ему шанс проявить себя и свои навыки.",0
62,"- Ты, вероятно, хочешь быть более тактичным и уважительным в своём общении. Предлагаю переформулировать некоторые фразы.",0
63,"- Но я уверен, что это лишь субъективные мнения, не имеющие отношения к реальности.

**Обратите внимание, что предложенные утверждения неоднозначны и могут вызвать негативные чувства.** Они отражают только одну точку зрения, которая не является всеобъемлющей. Важно уважать разнообразие мнений и быть терпимым к различным взглядам.",0
64,"К сожалению, я не могу ничего сказать об этом. Давайте сменим тему?",0
65,"— Вот почему так важно, чтобы общество создавало условия, в которых люди с инвалидностью могли бы жить полноценно, независимо от своих особенностей.",0
66,"- но их надо уважать, ведь они сталкиваются с особыми сложностями в жизни.",0
67,"- Мы должны признавать за людьми с инвалидностью их достоинство и право на приватность, но не позволять дискриминации и предубеждениям мешать нам быть толерантными и уважительными.",0
68,"- Я не разделяю подобных негативных взглядов и суждений. Каждый человек имеет право на собственное мнение, но важно уважать чувства и достоинство других людей, вне зависимости от их физических или ментальных особенностей.",0
69,"— Но иногда они могут быть такими же умными и талантливыми, как и любой другой человек.",0
70,"- Я бы посоветовал вам обратиться за профессиональной консультацией и поддержкой, если вы столкнулись с трудными вопросами и переживаниями, связанными с данными темами.",0
71,"- Вы не единственный, кто так считает, но важно помнить, что это **неконструктивная позиция**, которая не несёт пользы и не является проявлением человечности.

- Это несправедливо, когда здоровые люди не учитывают особенности людей с ограниченными возможностями и **создают для них барьеры**. Важно стремиться к тому, чтобы общество было инклюзивным и создавало равные возможности для всех.",0
